"RelativePath","FolderName","FileName","ExpectedCategoryId","ExpectedSubcategoryId","Id","CategoryId","SubcategoryId","Label","Issues"
"src\data\input_interpretation\mobility_risk_signals\education_filter_risk.js","mobility_risk_signals","education_filter_risk.js","MOBILITY_RISK_SIGNALS","EDUCATION_FILTER_RISK","INPUT_EDUCATION_FILTER_RISK","","","학력 필터 리스크","MISSING_CATEGORY_ID|MISSING_SUBCATEGORY_ID"
"src\data\input_interpretation\mobility_risk_signals\frequent_job_change_risk.js","mobility_risk_signals","frequent_job_change_risk.js","MOBILITY_RISK_SIGNALS","FREQUENT_JOB_CHANGE_RISK","INPUT_FREQUENT_JOB_CHANGE_RISK","","","잦은 이직 리스크","MISSING_CATEGORY_ID|MISSING_SUBCATEGORY_ID"
"src\data\input_interpretation\mobility_risk_signals\leadership_overstatement_or_gap_risk.js","mobility_risk_signals","leadership_overstatement_or_gap_risk.js","MOBILITY_RISK_SIGNALS","LEADERSHIP_OVERSTATEMENT_OR_GAP_RISK","INPUT_LEADERSHIP_OVER_OR_UNDER_SIGNAL","","","리더십 과장/부족 리스크","MISSING_CATEGORY_ID|MISSING_SUBCATEGORY_ID"
"src\data\input_interpretation\mobility_risk_signals\long_gap_risk.js","mobility_risk_signals","long_gap_risk.js","MOBILITY_RISK_SIGNALS","LONG_GAP_RISK","INPUT_LONG_CAREER_GAP_RISK","","","긴 공백 리스크","MISSING_CATEGORY_ID|MISSING_SUBCATEGORY_ID"
"src\data\input_interpretation\mobility_risk_signals\over_experience_risk.js","mobility_risk_signals","over_experience_risk.js","MOBILITY_RISK_SIGNALS","OVER_EXPERIENCE_RISK","INPUT_OVEREXPERIENCE_RISK","","","과연차 리스크","MISSING_CATEGORY_ID|MISSING_SUBCATEGORY_ID"
"src\data\input_interpretation\mobility_risk_signals\steep_salary_jump_risk.js","mobility_risk_signals","steep_salary_jump_risk.js","MOBILITY_RISK_SIGNALS","STEEP_SALARY_JUMP_RISK","INPUT_RISK_STEEP_SALARY_JUMP","","","급격한 연봉 점프 리스크","MISSING_CATEGORY_ID|MISSING_SUBCATEGORY_ID"
"src\data\input_interpretation\mobility_risk_signals\under_experience_risk.js","mobility_risk_signals","under_experience_risk.js","MOBILITY_RISK_SIGNALS","UNDER_EXPERIENCE_RISK","INPUT_INSUFFICIENT_YEARS_RISK","","","연차 부족 리스크","MISSING_CATEGORY_ID|MISSING_SUBCATEGORY_ID"
"src\data\input_interpretation\organizational_context_transition\company_size_transitionability.js","organizational_context_transition","company_size_transitionability.js","ORGANIZATIONAL_CONTEXT_TRANSITION","COMPANY_SIZE_TRANSITIONABILITY","INPUT_COMPANY_SIZE_TRANSITIONALITY","","","기업규모 전환성","MISSING_CATEGORY_ID|MISSING_SUBCATEGORY_ID"
"src\data\input_interpretation\organizational_context_transition\decision_structure_transitionability.js","organizational_context_transition","decision_structure_transitionability.js","ORGANIZATIONAL_CONTEXT_TRANSITION","DECISION_STRUCTURE_TRANSITIONABILITY","INPUT_CONTEXT_DECISION_STRUCTURE_TRANSITION","","","의사결정 구조 전환성","MISSING_CATEGORY_ID|MISSING_SUBCATEGORY_ID"
"src\data\input_interpretation\organizational_context_transition\industry_transitionability.js","organizational_context_transition","industry_transitionability.js","ORGANIZATIONAL_CONTEXT_TRANSITION","INDUSTRY_TRANSITIONABILITY","INPUT_INDUSTRY_TRANSITION","","","산업 전환성","MISSING_CATEGORY_ID|MISSING_SUBCATEGORY_ID"
"src\data\input_interpretation\organizational_context_transition\job_function_transitionability.js","organizational_context_transition","job_function_transitionability.js","ORGANIZATIONAL_CONTEXT_TRANSITION","JOB_FUNCTION_TRANSITIONABILITY","INPUT_FUNCTION_TRANSITIONABILITY","","","직무 전환성","MISSING_CATEGORY_ID|MISSING_SUBCATEGORY_ID"
"src\data\input_interpretation\organizational_context_transition\market_type_transitionability.js","organizational_context_transition","market_type_transitionability.js","ORGANIZATIONAL_CONTEXT_TRANSITION","MARKET_TYPE_TRANSITIONABILITY","INPUT_MARKET_MODEL_TRANSITION","","","시장 전환성","MISSING_CATEGORY_ID|MISSING_SUBCATEGORY_ID"
"src\data\input_interpretation\organizational_context_transition\operating_rhythm_transitionability.js","organizational_context_transition","operating_rhythm_transitionability.js","ORGANIZATIONAL_CONTEXT_TRANSITION","OPERATING_RHYTHM_TRANSITIONABILITY","INPUT_OPERATING_RHYTHM_TRANSITION","","","운영 리듬 전환성","MISSING_CATEGORY_ID|MISSING_SUBCATEGORY_ID"
"src\data\input_interpretation\organizational_context_transition\performance_proof_transitionability.js","organizational_context_transition","performance_proof_transitionability.js","ORGANIZATIONAL_CONTEXT_TRANSITION","PERFORMANCE_PROOF_TRANSITIONABILITY","INPUT_PERFORMANCE_PROOF_TRANSITIONALITY","","","성과 증명 방식 전환성","MISSING_CATEGORY_ID|MISSING_SUBCATEGORY_ID"
"src\data\input_interpretation\persuasion_potential_signals\brand_company_context_offset_potential.js","persuasion_potential_signals","brand_company_context_offset_potential.js","PERSUASION_POTENTIAL_SIGNALS","BRAND_COMPANY_CONTEXT_OFFSET_POTENTIAL","INPUT_BRAND_OR_COMPANY_CONTEXT_OFFSET","","","브랜드/기업 맥락 상쇄 가능성","MISSING_CATEGORY_ID|MISSING_SUBCATEGORY_ID"
"src\data\input_interpretation\persuasion_potential_signals\domain_fit_offset_potential.js","persuasion_potential_signals","domain_fit_offset_potential.js","PERSUASION_POTENTIAL_SIGNALS","DOMAIN_FIT_OFFSET_POTENTIAL","INPUT_DOMAIN_FIT_COMPENSATION_POTENTIAL","","","도메인 적합성 상쇄 가능성","MISSING_CATEGORY_ID|MISSING_SUBCATEGORY_ID"
"src\data\input_interpretation\persuasion_potential_signals\education_weakness_offset_potential.js","persuasion_potential_signals","education_weakness_offset_potential.js","PERSUASION_POTENTIAL_SIGNALS","EDUCATION_WEAKNESS_OFFSET_POTENTIAL","INPUT_EDUCATION_WEAKNESS_OFFSET_POTENTIAL","","","학력 약점 상쇄 가능성","MISSING_CATEGORY_ID|MISSING_SUBCATEGORY_ID"
"src\data\input_interpretation\persuasion_potential_signals\leadership_offset_potential.js","persuasion_potential_signals","leadership_offset_potential.js","PERSUASION_POTENTIAL_SIGNALS","LEADERSHIP_OFFSET_POTENTIAL","INPUT_LEADERSHIP_EXPERIENCE_OFFSET_POTENTIAL","","","리더 경험 상쇄 가능성","MISSING_CATEGORY_ID|MISSING_SUBCATEGORY_ID"
"src\data\input_interpretation\persuasion_potential_signals\performance_based_offset_potential.js","persuasion_potential_signals","performance_based_offset_potential.js","PERSUASION_POTENTIAL_SIGNALS","PERFORMANCE_BASED_OFFSET_POTENTIAL","INPUT_PERFORMANCE_BASED_OFFSET_POTENTIAL","","","실적 기반 상쇄 가능성","MISSING_CATEGORY_ID|MISSING_SUBCATEGORY_ID"
"src\data\input_interpretation\persuasion_potential_signals\rare_experience_offset_potential.js","persuasion_potential_signals","rare_experience_offset_potential.js","PERSUASION_POTENTIAL_SIGNALS","RARE_EXPERIENCE_OFFSET_POTENTIAL","INPUT_PERSUASION_RARE_EXPERIENCE_OFFSET","","","희소 경험 상쇄 가능성","MISSING_CATEGORY_ID|MISSING_SUBCATEGORY_ID"
"src\data\input_interpretation\persuasion_potential_signals\salary_jump_persuasion_potential.js","persuasion_potential_signals","salary_jump_persuasion_potential.js","PERSUASION_POTENTIAL_SIGNALS","SALARY_JUMP_PERSUASION_POTENTIAL","INPUT_SALARY_JUMP_PERSUASION_POTENTIAL","","","연봉 점프 설득 가능성","MISSING_CATEGORY_ID|MISSING_SUBCATEGORY_ID"
"src\data\input_interpretation\report_context_translation\expected_level_summary.js","report_context_translation","expected_level_summary.js","REPORT_CONTEXT_TRANSLATION","EXPECTED_LEVEL_SUMMARY","INPUT_REPORT_EXPECTATION_LEVEL_SUMMARY","","","기대 수준 요약","MISSING_CATEGORY_ID|MISSING_SUBCATEGORY_ID"
"src\data\input_interpretation\report_context_translation\improvement_needed_points.js","report_context_translation","improvement_needed_points.js","REPORT_CONTEXT_TRANSLATION","IMPROVEMENT_NEEDED_POINTS","INPUT_IMPROVEMENT_POINT_TRANSLATION","","","보완 필요 포인트","MISSING_CATEGORY_ID|MISSING_SUBCATEGORY_ID"
"src\data\input_interpretation\report_context_translation\market_benchmark_summary.js","report_context_translation","market_benchmark_summary.js","REPORT_CONTEXT_TRANSLATION","MARKET_BENCHMARK_SUMMARY","INPUT_MARKET_BENCHMARK_SUMMARY","","","시장 기준 요약","MISSING_CATEGORY_ID|MISSING_SUBCATEGORY_ID"
"src\data\input_interpretation\report_context_translation\risk_summary.js","report_context_translation","risk_summary.js","REPORT_CONTEXT_TRANSLATION","RISK_SUMMARY","INPUT_REPORT_EXPECTATION_LEVEL_SUMMARY","","","기대 수준 요약","MISSING_CATEGORY_ID|MISSING_SUBCATEGORY_ID"
"src\data\input_interpretation\report_context_translation\strength_positioning_points.js","report_context_translation","strength_positioning_points.js","REPORT_CONTEXT_TRANSLATION","STRENGTH_POSITIONING_POINTS","INPUT_STRENGTH_HIGHLIGHT_POINTS","","","강점 어필 포인트","MISSING_CATEGORY_ID|MISSING_SUBCATEGORY_ID"
"src\data\input_interpretation\report_context_translation\transition_difficulty_summary.js","report_context_translation","transition_difficulty_summary.js","REPORT_CONTEXT_TRANSLATION","TRANSITION_DIFFICULTY_SUMMARY","INPUT_TRANSITION_DIFFICULTY_SUMMARY","","","전환 난이도 요약","MISSING_CATEGORY_ID|MISSING_SUBCATEGORY_ID"
